"","q16","reltrad","income"
"411"," New Age (VOL) "," Other Faiths ","75 to under $100,000"
"412"," Roman Catholic "," Catholic ","40 to under $50,000"
"413"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"414"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"415"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"416"," Roman Catholic "," Catholic ","30 to under $40,000"
"417"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"418"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"419"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"420"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"421"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"422"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","75 to under $100,000"
"423"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"424"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"425"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"426"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"427"," Roman Catholic "," Catholic ","50 to under $75,000"
"428"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"429"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"430"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"431"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"432"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"433"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"434"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"435"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"436"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"437"," Jewish (Judaism) "," Jewish ","20 to under $30,000"
"438"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"439"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"440"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"441"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"442"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"443"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"444"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"445"," Roman Catholic "," Catholic ","75 to under $100,000"
"446"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"447"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"448"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"449"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"450"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"451"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"452"," Roman Catholic "," Catholic ","100 to under $150,000"
"453"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"454"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"455"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"456"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"457"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"458"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"459"," Roman Catholic "," Catholic ","50 to under $75,000"
"460"," Roman Catholic "," Catholic ","50 to under $75,000"
"461"," Hindu "," Hindu ","$150,000 or more"
"462"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"463"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"464"," Roman Catholic "," Catholic ","10 to under $20,000"
"465"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"466"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"467"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"468"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"469"," Christian (VOL) "," Evangelical Protestant Churches ","100 to under $150,000"
"470"," Roman Catholic "," Catholic ","100 to under $150,000"
"471"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"472"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"473"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"474"," Roman Catholic "," Catholic ","50 to under $75,000"
"475"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"476"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"477"," Roman Catholic "," Catholic ","40 to under $50,000"
"478"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"479"," Roman Catholic "," Catholic ","$150,000 or more"
"480"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"481"," Roman Catholic "," Catholic ","75 to under $100,000"
"482"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"483"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"484"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"485"," Roman Catholic "," Catholic ","40 to under $50,000"
"486"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"487"," Jewish (Judaism) "," Jewish ","75 to under $100,000"
"488"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"489"," Roman Catholic "," Catholic ","100 to under $150,000"
"490"," Roman Catholic "," Catholic ","$150,000 or more"
"491"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"492"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"493"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"494"," Roman Catholic "," Catholic ","$150,000 or more"
"495"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"496"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"497"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"498"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"499"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"500"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"501"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"502"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","Less than $10,000"
"503"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"504"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"505"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"506"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"507"," Agnostic (not sure if there is a God) "," Unaffiliated ","40 to under $50,000"
"508"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"509"," Roman Catholic "," Catholic ","$150,000 or more"
"510"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"511"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"512"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"513"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","50 to under $75,000"
"514"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"515"," Atheist (do not believe in God) "," Unaffiliated ","75 to under $100,000"
"516"," Roman Catholic "," Catholic ","50 to under $75,000"
"517"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"518"," Atheist (do not believe in God) "," Unaffiliated ","20 to under $30,000"
"519"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"520"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"521"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"522"," Roman Catholic "," Catholic ","50 to under $75,000"
"523"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"524"," Roman Catholic "," Catholic ","$150,000 or more"
"525"," Jewish (Judaism) "," Jewish ","75 to under $100,000"
"526"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"527"," Roman Catholic "," Catholic ","75 to under $100,000"
"528"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"529"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"530"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"531"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"532"," Roman Catholic "," Catholic ","10 to under $20,000"
"533"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"534"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"535"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"536"," Roman Catholic "," Catholic ","10 to under $20,000"
"537"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"538"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"539"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"540"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"541"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"542"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"543"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"544"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"545"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"546"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"547"," Buddhist "," Buddhist ","10 to under $20,000"
"548"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"549"," Roman Catholic "," Catholic ","$150,000 or more"
"550"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"551"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"552"," Muslim (Islam) "," Muslim ","50 to under $75,000"
"553"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"554"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"555"," Roman Catholic "," Catholic ","50 to under $75,000"
"556"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"557"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"558"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"559"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"560"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"561"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"562"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"563"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"564"," Roman Catholic "," Catholic ","100 to under $150,000"
"565"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"566"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"567"," Roman Catholic "," Catholic ","75 to under $100,000"
"568"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"569"," Roman Catholic "," Catholic ","20 to under $30,000"
"570"," Roman Catholic "," Catholic ","40 to under $50,000"
"571"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"572"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"573"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"574"," Roman Catholic "," Catholic ","40 to under $50,000"
"575"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"576"," Atheist (do not believe in God) "," Unaffiliated ","$150,000 or more"
"577"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"578"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"579"," Roman Catholic "," Catholic ","75 to under $100,000"
"580"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"581"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"582"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"583"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"584"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"585"," Roman Catholic "," Catholic ","10 to under $20,000"
"586"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"587"," Roman Catholic "," Catholic ","30 to under $40,000"
"588"," Muslim (Islam) "," Muslim ","Don't know/Refused (VOL.)"
"589"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","50 to under $75,000"
"590"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"591"," Agnostic (not sure if there is a God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"592"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"593"," Roman Catholic "," Catholic ","50 to under $75,000"
"594"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"595"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"596"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"597"," Roman Catholic "," Catholic ","Less than $10,000"
"598"," Roman Catholic "," Catholic ","20 to under $30,000"
"599"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"600"," Roman Catholic "," Catholic ","10 to under $20,000"
"601"," Christian (VOL) "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"602"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
